0.00  4.00   0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
4.00  8.00   0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
8.00  12.00   0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
12.00  16.00   0 0 1 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
16.00  20.00   0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 1 0 0
20.00  24.00   0 1 1 0 1 0 1 0 2 0 1 0 1 1 0 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1
24.00  28.00   0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 1 0 0 1 1
28.00  32.00   0 1 1 0 0 0 1 1 0 1 1 0 1 1 0 0 0 1 0 1 1 0 0 1 0 0 1 0 0 1
32.00  36.00   0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 1 1 0 1 1 0
36.00  40.00   1 0 1 0 0 1 1 0 1 2 1 0 1 1 1 0 0 2 0 0 1 1 1 0 1 1 1 1 1 0
40.00  44.00   1 1 0 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 2 0 2 1 0 0 1 0 0 0 2
44.00  48.00   0 1 2 1 0 1 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 1 1 0 0 1 1 3 0 1
48.00  52.00   0 1 1 0 2 1 1 1 0 1 1 1 1 0 0 0 1 1 0 1 0 1 0 1 1 1 0 0 0 1
52.00  56.00   2 0 1 1 0 0 1 1 0 0 0 1 1 1 2 0 1 0 1 1 1 1 2 1 0 1 2 0 1 1
56.00  60.00   0 2 0 0 1 0 1 0 1 1 1 0 2 0 0 1 1 1 1 1 0 0 0 1 0 0 1 1 0 1
60.00  64.00   0 2 1 2 0 1 2 1 1 1 2 1 0 2 0 1 1 1 1 1 1 0 1 1 2 1 2 1 1 0
64.00  68.00   1 0 1 1 1 1 0 1 1 2 0 1 1 1 1 1 1 1 0 1 1 2 1 0 2 0 1 0 1 2
68.00  72.00   0 2 0 1 1 1 2 0 0 0 1 0 2 1 2 0 1 0 2 2 1 1 1 1 0 2 0 2 0 1
